flex,fsr1,fsr2,fsr3,pitch,roll,label
274,1.19,0.00,13.90,69.24,25.11,Sitting
293,1.41,0.00,14.38,69.24,25.13,Sitting
308,1.86,0.00,14.72,69.23,25.10,Sitting
321,2.55,0.00,15.04,69.22,25.07,Sitting
331,2.76,0.00,15.29,69.22,25.01,Sitting
313,2.20,0.00,15.11,69.23,25.14,Sitting
302,1.74,0.00,14.96,69.24,25.15,Sitting
289,1.42,0.00,14.84,69.25,25.12,Sitting
279,1.13,0.00,14.69,69.24,25.10,Sitting
298,1.54,0.00,14.99,69.24,25.14,Sitting
314,1.83,0.00,15.20,69.22,25.11,Sitting
328,2.02,0.00,15.42,69.21,25.05,Sitting
311,1.23,0.00,15.13,69.21,25.03,Sitting
304,0.89,0.00,15.05,69.20,25.14,Sitting
297,0.60,0.00,14.91,69.18,25.16,Sitting
292,0.55,0.00,14.79,69.16,25.15,Sitting
285,0.56,0.00,14.71,69.16,25.12,Sitting
305,1.34,0.00,15.05,69.18,25.13,Sitting
321,1.88,0.00,15.29,69.19,25.13,Sitting
311,1.66,0.00,15.29,69.19,25.11,Sitting
300,1.51,0.00,14.98,69.19,25.09,Sitting
284,1.34,0.00,15.07,69.19,25.27,Sitting
281,1.25,0.00,14.92,69.18,25.27,Sitting
273,1.10,0.00,14.81,69.17,25.29,Sitting
279,1.84,0.00,15.10,69.15,25.28,Sitting
287,2.39,0.00,15.36,69.17,25.24,Sitting
293,2.67,0.00,15.46,69.18,25.15,Sitting
296,2.84,0.00,15.43,69.21,25.10,Sitting
272,2.13,0.00,14.68,69.23,25.01,Sitting
261,0.95,0.00,14.45,69.25,25.01,Sitting
246,0.79,0.00,14.38,69.27,25.03,Sitting
239,0.68,0.00,14.36,69.24,25.01,Sitting
227,0.36,0.00,14.21,69.23,24.99,Sitting
249,1.05,0.00,14.55,69.22,25.01,Sitting
240,1.14,0.00,14.11,69.21,24.99,Sitting
263,1.74,0.00,14.47,69.21,25.03,Sitting
251,1.35,0.00,14.36,69.21,25.00,Sitting
242,1.22,0.00,14.32,69.21,25.04,Sitting
240,1.17,0.00,14.28,69.22,25.01,Sitting
235,1.14,0.00,14.23,69.22,24.97,Sitting
234,1.07,0.00,14.25,69.20,24.94,Sitting
258,1.65,0.00,14.58,69.20,24.99,Sitting
280,2.08,0.00,14.80,69.19,24.97,Sitting
300,2.43,0.00,15.05,69.19,24.90,Sitting
313,2.66,0.00,15.22,69.17,24.88,Sitting
300,1.94,0.00,15.03,69.19,25.02,Sitting
294,1.27,0.00,14.90,69.19,25.04,Sitting
287,0.74,0.00,14.74,69.18,25.02,Sitting
277,0.12,0.00,14.62,69.20,25.00,Sitting
297,0.30,0.00,14.88,69.21,25.01,Sitting
315,0.55,0.00,15.09,69.23,25.00,Sitting
329,0.50,0.00,15.17,69.21,24.98,Sitting
341,0.57,0.00,15.38,69.21,24.92,Sitting
323,0.00,0.00,15.18,69.21,25.15,Sitting
309,0.00,0.00,14.96,69.19,25.15,Sitting
296,0.00,0.00,14.81,69.18,25.12,Sitting
311,0.00,0.00,15.04,69.17,25.09,Sitting
323,0.00,0.00,15.21,69.16,25.04,Sitting
309,0.00,0.00,15.13,69.17,25.01,Sitting
321,0.00,0.00,15.35,69.18,24.98,Sitting
305,0.00,0.00,15.05,69.20,24.96,Sitting
297,0.00,0.00,14.89,69.21,24.95,Sitting
291,0.00,0.00,14.78,69.22,24.92,Sitting
284,0.00,0.00,14.67,69.22,24.92,Sitting
278,0.00,0.00,14.53,69.23,24.89,Sitting
297,0.00,0.00,14.84,69.20,24.96,Sitting
311,0.00,0.00,15.05,69.21,24.96,Sitting
323,0.00,0.00,15.26,69.21,24.95,Sitting
334,0.24,0.00,15.39,69.22,24.91,Sitting
320,0.00,0.00,15.16,69.22,25.05,Sitting
309,0.00,0.00,14.97,69.23,25.06,Sitting
285,0.00,0.00,14.83,69.22,25.03,Sitting
283,0.00,0.00,14.66,69.21,25.05,Sitting
305,0.00,0.00,14.92,69.21,25.06,Sitting
324,0.00,0.00,15.18,69.23,25.03,Sitting
336,0.00,0.00,15.39,69.21,24.98,Sitting
349,0.09,0.00,15.40,69.21,24.96,Sitting
335,0.00,0.00,15.19,69.22,25.16,Sitting
323,0.00,0.00,15.03,69.24,25.19,Sitting
315,0.00,0.00,14.77,69.24,25.17,Sitting
332,0.00,0.00,15.01,69.24,25.17,Sitting
346,0.00,0.00,15.26,69.26,25.17,Sitting
360,0.20,0.00,15.46,69.26,25.10,Sitting
368,0.38,0.00,15.64,69.26,25.10,Sitting
375,0.31,0.00,15.53,69.26,25.05,Sitting
353,0.00,0.00,15.32,69.26,25.15,Sitting
338,0.00,0.00,15.05,69.26,25.16,Sitting
324,0.00,0.00,14.96,69.27,25.13,Sitting
311,0.00,0.00,14.87,69.28,25.11,Sitting
327,0.00,0.00,15.18,69.27,25.15,Sitting
339,0.00,0.00,15.42,69.28,25.12,Sitting
348,0.45,0.00,15.62,69.27,25.06,Sitting
355,0.22,0.00,15.53,69.27,25.06,Sitting
337,0.25,0.00,15.40,69.26,25.29,Sitting
320,0.21,0.00,15.30,69.25,25.32,Sitting
309,0.08,0.00,15.21,69.25,25.30,Sitting
315,0.38,0.00,14.82,69.25,25.27,Sitting
329,1.04,0.00,15.12,69.25,25.24,Sitting
311,1.60,0.00,14.99,69.24,25.22,Sitting
325,1.94,0.00,15.25,69.23,25.20,Sitting
