flex,fsr1,fsr2,fsr3,pitch,roll,label
0,11.45,0.00,15.60,-25.71,21.14,Standing
0,11.43,0.00,15.50,-25.71,21.09,Standing
0,11.81,0.00,15.89,-25.73,21.08,Standing
0,11.58,0.00,16.10,-25.74,21.04,Standing
0,11.86,0.00,16.40,-25.74,21.06,Standing
0,11.13,0.00,16.17,-25.76,21.03,Standing
0,10.12,0.00,15.94,-25.78,21.01,Standing
0,9.76,0.00,15.94,-25.80,21.14,Standing
0,9.24,0.00,15.93,-25.80,21.16,Standing
0,8.79,0.00,15.93,-25.82,21.18,Standing
0,9.36,0.00,16.16,-25.83,21.13,Standing
0,10.40,0.00,16.54,-25.85,21.08,Standing
0,10.28,0.00,16.57,-25.87,21.05,Standing
0,9.30,0.00,16.91,-25.86,21.06,Standing
0,9.43,0.00,16.71,-25.87,21.01,Standing
0,9.53,0.00,16.65,-25.82,21.03,Standing
0,9.39,0.00,16.48,-25.79,21.04,Standing
0,8.77,0.00,16.37,-25.80,21.01,Standing
0,8.94,0.00,16.60,-25.75,20.94,Standing
0,8.20,0.00,16.48,-25.75,20.92,Standing
0,7.73,0.00,16.62,-25.75,20.92,Standing
0,7.40,0.00,16.63,-25.72,20.90,Standing
0,5.34,0.00,15.74,-25.71,20.86,Standing
0,4.29,0.00,15.53,-25.72,20.93,Standing
0,3.28,0.00,15.18,-25.72,20.87,Standing
0,2.32,0.00,15.15,-25.73,20.84,Standing
0,1.66,0.00,15.04,-25.74,20.81,Standing
0,1.48,0.00,15.02,-25.75,20.84,Standing
0,2.01,0.00,14.97,-25.76,20.83,Standing
0,3.02,0.00,15.22,-25.75,20.83,Standing
0,3.42,0.00,14.93,-25.76,20.78,Standing
0,3.82,0.00,14.63,-25.76,20.88,Standing
0,4.42,0.00,14.56,-25.78,20.86,Standing
0,5.02,0.00,14.29,-25.81,20.84,Standing
0,6.14,0.00,14.69,-25.83,20.82,Standing
0,6.91,0.00,14.98,-25.84,20.80,Standing
0,7.24,0.00,15.27,-25.83,20.74,Standing
0,8.06,0.00,15.45,-25.84,20.71,Standing
0,7.88,0.00,15.13,-25.86,20.68,Standing
0,8.01,0.00,14.94,-25.88,20.73,Standing
0,8.18,0.00,14.83,-25.92,20.77,Standing
0,8.29,0.00,14.89,-25.97,20.74,Standing
0,8.03,0.00,15.09,-26.02,20.74,Standing
0,8.71,0.00,15.39,-26.04,20.80,Standing
0,8.47,0.00,15.40,-26.07,20.80,Standing
0,8.89,0.00,15.71,-26.07,20.79,Standing
0,8.45,0.00,15.36,-26.08,20.76,Standing
0,8.42,0.00,15.20,-26.10,20.78,Standing
0,8.22,0.00,15.03,-26.13,20.83,Standing
0,8.67,0.00,14.90,-26.16,20.84,Standing
0,8.81,0.00,14.93,-26.19,20.86,Standing
0,9.39,0.00,14.95,-26.21,20.91,Standing
0,10.38,0.00,15.29,-26.24,20.88,Standing
0,11.26,0.00,15.66,-26.27,20.85,Standing
0,11.55,0.00,15.30,-26.28,20.83,Standing
0,11.80,0.00,15.22,-26.30,20.91,Standing
0,12.02,0.00,15.14,-26.31,20.94,Standing
0,12.31,0.00,15.14,-26.30,20.95,Standing
0,12.34,0.00,15.29,-26.30,20.94,Standing
0,13.17,0.00,15.60,-26.31,20.96,Standing
0,13.86,0.00,15.85,-26.31,20.91,Standing
0,14.56,0.00,16.09,-26.31,20.90,Standing
0,14.94,0.00,16.29,-26.31,20.85,Standing
0,14.61,0.00,16.06,-26.32,21.00,Standing
0,14.32,0.00,15.86,-26.32,21.04,Standing
0,14.17,0.00,15.78,-26.32,21.01,Standing
0,13.47,0.00,15.48,-26.32,21.03,Standing
0,13.55,0.00,15.50,-26.32,20.99,Standing
0,14.12,0.00,15.77,-26.33,21.01,Standing
0,14.57,0.00,16.03,-26.32,20.96,Standing
0,15.05,0.00,16.02,-26.33,20.95,Standing
0,14.66,0.00,15.82,-26.34,21.06,Standing
0,14.30,0.00,15.62,-26.36,21.08,Standing
0,14.02,0.00,15.50,-26.38,21.06,Standing
0,13.43,0.00,15.27,-26.39,21.03,Standing
0,13.78,0.00,15.65,-26.38,21.04,Standing
0,13.96,0.00,15.99,-26.38,21.01,Standing
0,14.04,0.00,16.20,-26.37,21.00,Standing
0,13.03,0.00,15.55,-26.38,21.03,Standing
0,12.30,0.00,15.43,-26.40,21.08,Standing
0,11.90,0.00,15.28,-26.44,21.06,Standing
0,11.68,0.00,15.17,-26.49,21.02,Standing
0,11.13,0.00,14.87,-26.53,20.97,Standing
0,11.28,0.00,15.19,-26.54,21.04,Standing
0,11.25,0.00,15.42,-26.56,20.99,Standing
0,11.28,0.00,15.61,-26.57,20.97,Standing
0,10.49,0.00,15.51,-26.58,20.92,Standing
0,10.05,0.00,15.39,-26.59,21.02,Standing
0,9.71,0.00,15.31,-26.59,21.04,Standing
0,9.41,0.00,15.16,-26.61,21.02,Standing
0,9.92,0.00,15.47,-26.61,21.02,Standing
0,9.76,0.00,15.40,-26.59,21.04,Standing
0,10.12,0.00,15.65,-26.58,21.06,Standing
0,10.37,0.00,15.83,-26.58,21.03,Standing
0,9.76,0.00,15.53,-26.57,21.00,Standing
0,9.81,0.00,15.36,-26.55,21.11,Standing
0,9.71,0.00,15.19,-26.55,21.08,Standing
0,9.72,0.00,15.06,-26.53,21.07,Standing
0,9.73,0.00,15.09,-26.51,21.05,Standing
0,10.63,0.00,15.42,-26.50,21.09,Standing
0,11.27,0.00,15.68,-26.49,21.07,Standing
0,11.89,0.00,15.98,-26.47,21.06,Standing
0,11.60,0.00,15.75,-26.44,21.00,Standing
0,11.12,0.00,15.47,-26.43,21.08,Standing
0,11.04,0.00,15.38,-26.42,21.10,Standing
0,10.13,0.00,15.23,-26.42,21.07,Standing
0,10.98,0.00,15.57,-26.42,21.05,Standing
0,11.66,0.00,15.86,-26.41,21.03,Standing
0,12.33,0.00,16.11,-26.40,21.00,Standing
0,12.78,0.00,16.27,-26.39,20.94,Standing
0,12.22,0.00,15.78,-26.38,20.91,Standing
0,12.04,0.00,15.70,-26.36,20.95,Standing
0,11.90,0.00,15.52,-26.34,20.97,Standing
0,11.83,0.00,15.48,-26.31,20.98,Standing
0,11.48,0.00,15.26,-26.32,20.97,Standing
0,12.17,0.00,15.65,-26.30,20.95,Standing
0,12.73,0.00,15.98,-26.28,20.92,Standing
0,13.05,0.00,16.21,-26.24,20.90,Standing
0,13.33,0.00,16.35,-26.20,20.87,Standing
0,13.21,0.00,16.14,-26.16,21.03,Standing
0,12.87,0.00,15.99,-26.11,21.05,Standing
0,12.98,0.00,15.60,-26.10,21.05,Standing
0,13.04,0.00,15.75,-26.08,21.08,Standing
0,13.42,0.00,15.97,-26.06,21.10,Standing
0,13.67,0.00,16.22,-26.03,21.08,Standing
0,13.93,0.00,16.44,-26.00,21.04,Standing
0,12.76,0.00,15.90,-25.99,21.02,Standing
0,12.99,0.00,15.98,-25.96,21.12,Standing
0,12.74,0.00,15.85,-25.96,21.14,Standing
0,12.61,0.00,15.84,-25.97,21.12,Standing
0,12.15,0.00,15.48,-25.96,21.09,Standing
0,12.75,0.00,15.95,-25.94,21.12,Standing
0,13.21,0.00,16.34,-25.91,21.14,Standing
0,12.79,0.00,16.16,-25.88,21.12,Standing
0,11.95,0.00,16.03,-25.85,21.09,Standing
0,11.86,0.00,16.07,-25.83,21.12,Standing
0,11.73,0.00,16.16,-25.83,21.15,Standing
0,11.79,0.00,16.28,-25.82,21.13,Standing
0,11.37,0.00,16.02,-25.80,21.12,Standing
0,12.16,0.00,16.58,-25.75,21.14,Standing
0,12.60,0.00,16.98,-25.73,21.13,Standing
0,13.13,0.00,17.31,-25.69,21.12,Standing
0,13.58,0.00,17.56,-25.65,21.07,Standing
0,13.20,0.00,17.45,-25.59,21.25,Standing
0,12.88,0.00,17.32,-25.55,21.29,Standing
0,12.68,0.00,17.24,-25.51,21.29,Standing
0,12.41,0.00,17.08,-25.46,21.29,Standing
0,12.94,0.00,17.37,-25.40,21.39,Standing
0,13.33,0.00,17.55,-25.36,21.39,Standing
0,13.69,0.00,17.64,-25.32,21.34,Standing
0,13.22,0.00,17.19,-25.26,21.32,Standing
0,12.89,0.00,17.06,-25.18,21.38,Standing
0,12.56,0.00,16.86,-25.10,21.41,Standing
0,12.42,0.00,16.79,-25.05,21.41,Standing
0,11.97,0.00,16.65,-24.99,21.40,Standing
0,12.50,0.00,16.91,-24.90,21.46,Standing
0,12.79,0.00,16.32,-24.84,21.41,Standing
0,13.17,0.00,16.63,-24.79,21.40,Standing
0,12.81,0.00,16.57,-24.76,21.35,Standing
0,12.53,0.00,16.51,-24.71,21.49,Standing
0,12.34,0.00,16.47,-24.66,21.50,Standing
0,12.24,0.00,16.48,-24.65,21.47,Standing
0,12.13,0.00,16.36,-24.61,21.46,Standing
0,12.85,0.00,16.59,-24.55,21.51,Standing
0,13.27,0.00,16.66,-24.52,21.50,Standing
0,12.13,0.00,16.38,-24.52,21.49,Standing
0,12.34,0.00,16.29,-24.51,21.47,Standing
0,12.29,0.00,16.07,-24.52,21.57,Standing
0,12.17,0.00,15.93,-24.57,21.60,Standing
0,12.14,0.00,15.86,-24.59,21.56,Standing
0,11.83,0.00,15.67,-24.56,21.51,Standing
0,12.46,0.00,16.02,-24.54,21.50,Standing
0,12.54,0.00,16.05,-24.54,21.47,Standing
0,13.05,0.00,16.33,-24.54,21.45,Standing
0,12.66,0.00,16.05,-24.54,21.44,Standing
0,12.50,0.00,16.01,-24.57,21.53,Standing
0,12.40,0.00,15.61,-24.60,21.51,Standing
0,12.12,0.00,15.56,-24.61,21.48,Standing
0,12.16,0.00,15.56,-24.60,21.44,Standing
0,12.75,0.00,15.94,-24.58,21.51,Standing
0,13.23,0.00,16.23,-24.57,21.47,Standing
0,13.65,0.00,16.47,-24.58,21.40,Standing
0,13.93,0.00,16.68,-24.60,21.39,Standing
0,13.61,0.00,16.52,-24.64,21.48,Standing
0,13.28,0.00,16.44,-24.67,21.49,Standing
0,12.89,0.00,16.40,-24.71,21.45,Standing
0,12.50,0.00,16.17,-24.73,21.42,Standing
0,12.99,0.00,16.51,-24.75,21.49,Standing
0,13.46,0.00,16.81,-24.77,21.46,Standing
0,13.88,0.00,17.03,-24.78,21.44,Standing
0,13.29,0.00,16.70,-24.79,21.42,Standing
0,12.91,0.00,16.60,-24.81,21.50,Standing
0,12.90,0.00,16.61,-24.84,21.51,Standing
0,12.70,0.00,16.59,-24.87,21.49,Standing
0,12.42,0.00,16.46,-24.90,21.45,Standing
0,13.21,0.00,16.82,-24.91,21.49,Standing
0,13.54,0.00,17.10,-24.95,21.44,Standing
0,13.70,0.00,17.33,-24.98,21.36,Standing
0,13.26,0.00,17.30,-25.01,21.33,Standing
0,13.22,0.00,17.17,-25.02,21.41,Standing
0,13.17,0.00,17.03,-25.05,21.40,Standing
0,13.20,0.00,17.03,-25.09,21.36,Standing
0,12.60,0.00,16.88,-25.11,21.30,Standing
0,13.36,0.00,17.21,-25.12,21.33,Standing
0,13.91,0.00,17.46,-25.15,21.30,Standing
0,14.44,0.00,17.72,-25.19,21.30,Standing
0,14.82,0.00,17.89,-25.22,21.23,Standing
0,14.71,0.00,17.67,-25.24,21.48,Standing
0,14.64,0.00,17.54,-25.25,21.47,Standing
0,14.65,0.00,17.40,-25.25,21.46,Standing
0,15.25,0.00,17.65,-25.26,21.43,Standing
0,15.95,0.00,17.86,-25.27,21.44,Standing
0,16.29,0.00,18.02,-25.29,21.42,Standing
0,16.57,0.00,18.17,-25.30,21.36,Standing
0,15.73,0.00,17.73,-25.32,21.34,Standing
0,15.48,0.00,17.61,-25.33,21.46,Standing
0,15.27,0.00,17.43,-25.32,21.46,Standing
0,15.21,0.00,17.25,-25.32,21.42,Standing
0,15.43,0.00,17.38,-25.31,21.41,Standing
0,15.93,0.00,17.65,-25.30,21.43,Standing
0,15.62,0.00,17.31,-25.28,21.41,Standing
0,16.07,0.00,17.59,-25.27,21.39,Standing
0,15.46,0.00,17.34,-25.28,21.31,Standing
0,15.31,0.00,17.24,-25.27,21.39,Standing
0,15.15,0.00,17.18,-25.25,21.36,Standing
0,15.49,0.00,17.23,-25.23,21.33,Standing
0,15.16,0.00,17.12,-25.20,21.29,Standing
0,14.99,0.00,17.02,-25.18,21.29,Standing
0,15.52,0.00,17.36,-25.17,21.27,Standing
0,14.66,0.00,17.23,-25.15,21.25,Standing
0,13.57,0.00,16.81,-25.14,21.23,Standing
0,13.73,0.00,16.67,-25.10,21.37,Standing
0,13.85,0.00,16.60,-25.09,21.38,Standing
0,13.95,0.00,16.54,-25.07,21.40,Standing
0,14.39,0.00,16.73,-25.07,21.39,Standing
0,15.02,0.00,16.97,-25.08,21.41,Standing
0,15.55,0.00,17.22,-25.09,21.35,Standing
0,15.95,0.00,17.44,-25.06,21.33,Standing
0,15.15,0.00,16.98,-25.06,21.26,Standing
0,14.59,0.00,16.70,-25.05,21.28,Standing
0,14.55,0.00,16.68,-25.04,21.29,Standing
