flex,fsr1,fsr2,fsr3,pitch,roll,label
0,7.40,0.00,13.35,-25.89,29.04,Walking
0,7.24,0.00,13.17,-25.90,29.01,Walking
0,8.73,0.00,13.46,-25.91,28.99,Walking
0,9.55,0.00,13.49,-25.97,28.95,Walking
0,10.21,0.00,13.47,-26.00,29.07,Walking
0,11.04,0.00,13.45,-26.04,29.00,Walking
0,11.64,0.00,13.43,-26.05,28.85,Walking
0,12.53,0.00,13.72,-26.09,28.79,Walking
0,13.40,0.00,13.96,-26.13,28.68,Walking
0,14.18,0.00,14.22,-26.16,28.57,Walking
0,14.22,0.00,14.10,-26.18,28.51,Walking
0,14.07,0.00,14.05,-26.19,28.48,Walking
0,14.13,0.00,14.04,-26.17,28.44,Walking
0,14.54,0.00,14.31,-26.16,28.38,Walking
0,14.91,0.00,14.49,-26.07,28.41,Walking
0,15.05,0.00,14.74,-26.03,28.43,Walking
0,14.82,0.00,14.88,-25.94,28.51,Walking
0,12.76,0.00,14.65,-25.87,28.68,Walking
0,12.39,0.00,14.46,-25.81,28.74,Walking
0,12.53,0.00,14.37,-25.80,28.79,Walking
0,12.88,0.00,14.50,-25.80,28.78,Walking
0,13.43,0.00,14.74,-25.83,28.78,Walking
0,13.32,0.00,14.57,-25.85,28.70,Walking
0,13.22,0.00,14.53,-25.84,28.66,Walking
0,13.05,0.00,14.51,-25.84,28.68,Walking
0,12.89,0.00,14.55,-25.85,28.69,Walking
0,12.59,0.00,14.54,-25.78,28.78,Walking
0,12.95,0.00,14.83,-25.67,28.96,Walking
0,13.23,0.00,15.08,-25.56,29.19,Walking
0,13.24,0.00,15.27,-25.49,29.48,Walking
0,12.65,0.00,15.16,-25.42,29.67,Walking
0,12.36,0.00,15.04,-25.39,29.62,Walking
0,11.96,0.00,14.93,-25.37,29.46,Walking
0,11.99,0.00,15.22,-25.35,29.24,Walking
0,11.81,0.00,15.42,-25.34,29.03,Walking
0,11.85,0.00,15.57,-25.34,28.82,Walking
0,11.36,0.00,15.34,-25.39,28.65,Walking
0,11.06,0.00,15.10,-25.39,28.54,Walking
0,10.10,0.00,13.81,-25.37,28.35,Walking
0,10.16,0.00,13.70,-25.36,28.19,Walking
0,11.06,0.00,14.07,-25.35,28.00,Walking
0,11.46,0.00,14.31,-25.33,27.82,Walking
0,11.95,0.00,14.51,-25.31,27.66,Walking
0,11.81,0.00,14.21,-25.31,27.52,Walking
0,10.52,0.00,13.92,-25.32,27.55,Walking
0,9.02,0.00,13.71,-25.40,27.42,Walking
0,9.27,0.00,13.91,-25.45,27.35,Walking
0,9.20,0.00,13.72,-25.48,27.32,Walking
0,9.87,0.00,13.91,-25.53,27.29,Walking
0,9.89,0.00,13.84,-25.54,27.23,Walking
0,9.64,0.00,13.68,-25.57,27.32,Walking
0,9.21,0.00,13.51,-25.59,27.24,Walking
0,9.19,0.00,13.40,-25.61,27.17,Walking
0,9.91,0.00,13.65,-25.65,27.17,Walking
0,10.28,0.00,13.87,-25.73,27.11,Walking
0,10.59,0.00,14.08,-25.79,27.04,Walking
0,10.29,0.00,13.90,-25.85,26.96,Walking
